real,pred
"[0.0, 0.0007794851659691, 0.0084610720924979, 0.0251823906881542, 0.0539348918989322, 0.0861872606139573, 0.1118701714737076, 0.127577418454785, 0.1330837669642485, 0.1281222174951516, 0.1175339873377661, 0.0976202278179708, 0.0624322644880819, 0.0305841842224903, 0.0124646779092672, 0.0041659833770196]","[0.007809371221810579, 0.014057686552405357, 0.023264169692993164, 0.031170401722192764, 0.044132575392723083, 0.056196607649326324, 0.07153158634901047, 0.08950039744377136, 0.10430768132209778, 0.11451533436775208, 0.13013124465942383, 0.12591174244880676, 0.09737785905599594, 0.05103565752506256, 0.02506541647017002, 0.01399232167750597]"
"[0.0022876737525887, 0.0091216437446668, 0.0289671417129497, 0.0572765041916757, 0.0880705546154882, 0.1140580289654202, 0.1320671669965577, 0.1370111188530208, 0.1273835907724628, 0.1077854737765497, 0.0843442525094401, 0.0586025564753044, 0.031047394061977, 0.0138789079015245, 0.0059703176603528, 0.0021276740100202]","[0.009607959538698196, 0.020182479172945023, 0.037295036017894745, 0.053856849670410156, 0.07217071950435638, 0.08588644862174988, 0.09616193920373917, 0.10466107726097107, 0.10802241414785385, 0.10738947987556458, 0.10819903016090393, 0.09124927967786789, 0.05955313891172409, 0.02649627812206745, 0.012060360051691532, 0.007207498885691166]"
"[0.0099369364982474, 0.0313844228747412, 0.066588834476435, 0.1009871494913421, 0.1262205984684683, 0.1378233761383455, 0.140530478166848, 0.1316819503124087, 0.1056135099482266, 0.0710057379635411, 0.0420004473621178, 0.0226277020525612, 0.0085651683521552, 0.003060473458572, 0.0012612854994302, 0.0007119289365589]","[0.015095445327460766, 0.0340680368244648, 0.06314533948898315, 0.087098628282547, 0.10462167114019394, 0.11171578615903854, 0.11415626853704453, 0.10999701172113419, 0.10030680894851685, 0.08763135969638824, 0.07464590668678284, 0.05129504203796387, 0.02695601060986519, 0.010649401694536209, 0.005037055350840092, 0.003580165794119239]"
"[0.0311745975725458, 0.067877391264236, 0.1100133408251887, 0.1373132325252425, 0.1507785619771047, 0.1471020994038841, 0.1318545194251121, 0.1048307530756292, 0.0672662311212417, 0.0314313816127257, 0.010994408109486, 0.0046313757633523, 0.0008547285051279, 0.0, 0.001062667858534, 0.0028147109605885]","[0.032557543367147446, 0.06991232931613922, 0.11199536174535751, 0.13315360248088837, 0.13626976311206818, 0.1284288465976715, 0.11599647253751755, 0.09503098577260971, 0.06989403069019318, 0.04643440991640091, 0.028373343870043755, 0.01606307551264763, 0.007667130790650845, 0.003528535133227706, 0.0023824600502848625, 0.0023121859412640333]"
"[0.0606891922008039, 0.1076322222992748, 0.149110571016173, 0.1617200248000259, 0.1582861045192234, 0.1401959370298496, 0.1101486726209661, 0.0687996185652843, 0.0307289683524765, 0.0080798844264556, 0.0002241458159628, 0.0, 0.0, 0.0, 0.0012016972599998, 0.0031829610935037]","[0.06179138273000717, 0.11333518475294113, 0.15605321526527405, 0.16166913509368896, 0.1487472653388977, 0.1276918649673462, 0.10202480107545853, 0.06773880869150162, 0.034067798405885696, 0.013636297546327114, 0.00503692077472806, 0.00239011412486434, 0.0013592393370345235, 0.001018884708173573, 0.0014191336231306195, 0.0020199869759380817]"
"[0.0888568482630064, 0.1426259055594715, 0.1817855448829328, 0.1789866610504946, 0.1560195246066429, 0.1207719844020107, 0.0798852761892797, 0.0374651526914451, 0.0101995677574674, 0.0012622385168651, 0.0, 0.0, 0.0, 0.0, 0.0005868620597518, 0.0015544340206315]","[0.1018596962094307, 0.1555962860584259, 0.1904590129852295, 0.17749977111816406, 0.14548394083976746, 0.11291778087615967, 0.07106073200702667, 0.030474603176116943, 0.00732703460380435, 0.0015542686451226473, 0.0003401775029487908, 0.000173330437974073, 0.0002072668430628255, 0.00038860199856571853, 0.001518760807812214, 0.0031387628987431526]"
"[0.1211425227403064, 0.179600711341071, 0.2126780139224683, 0.1903085082524336, 0.1442435039219609, 0.0905574830249673, 0.0453364040697576, 0.0143062886233427, 0.001826564103692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.13696463406085968, 0.18610288202762604, 0.2091073989868164, 0.18108977377414703, 0.13310743868350983, 0.08824993669986725, 0.04151025041937828, 0.01276008877903223, 0.0018802294507622719, 0.00033965008333325386, 7.58753449190408e-05, 4.8915557272266597e-05, 0.00011089900363003835, 0.0003614446322899312, 0.002377426717430353, 0.005913225933909416]"
"[0.1598467129053287, 0.212588038119688, 0.2291610663688472, 0.1858353677152198, 0.1233809542308502, 0.0602329266238669, 0.0197560128879289, 0.0025580918239249, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0018200429223443, 0.0048207864020007]","[0.16687819361686707, 0.2160750925540924, 0.2265608012676239, 0.18171082437038422, 0.11399248242378235, 0.056744128465652466, 0.017594167962670326, 0.0039018120151013136, 0.0004406172374729067, 9.912521636579186e-05, 3.225935506634414e-05, 3.039064358745236e-05, 0.00011441746028140187, 0.0005057697999291122, 0.004351959563791752, 0.010968049988150597]"
"[0.1890141616416974, 0.2254449629956124, 0.2229929588885024, 0.1692366672018774, 0.1046854318111622, 0.0450321510627287, 0.0115246107110943, 0.0005138512756695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001994631350457, 0.0099422510815429, 0.0196183219796553]","[0.20282019674777985, 0.2393089085817337, 0.2304634302854538, 0.16649961471557617, 0.09073922038078308, 0.036360420286655426, 0.008691683411598206, 0.0017288789385929704, 0.00021278344502206892, 7.056870526866987e-05, 3.565670340321958e-05, 4.416615774971433e-05, 0.0001838090392993763, 0.0007303724996745586, 0.006250487640500069, 0.01585971564054489]"
"[0.2191441927044036, 0.237413197239985, 0.2165213156131502, 0.1540169908118588, 0.0883095662708278, 0.0340906809764778, 0.0075943578842603, 0.000318657358895, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033623555515451, 0.0138540993956011, 0.0253745861929949]","[0.23074834048748016, 0.2568867802619934, 0.2302248179912567, 0.15007047355175018, 0.07260926812887192, 0.024268081411719322, 0.004933150950819254, 0.0009618072072044015, 0.0001401379849994555, 6.685452535748482e-05, 4.6953056880738586e-05, 6.873237725812942e-05, 0.0002777875051833689, 0.0009503208566457033, 0.007419108878821135, 0.02032732591032982]"
"[0.247968132007096, 0.2566002825020368, 0.2221689858703258, 0.1468769336483125, 0.0727539785289597, 0.0204162704782983, 0.0020209912943875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022928447875318, 0.0100368303500297, 0.0188647505330215]","[0.2473480999469757, 0.263873815536499, 0.22865816950798035, 0.14237317442893982, 0.0639653131365776, 0.018866078928112984, 0.0035888899583369493, 0.0007210822659544647, 0.00011867707507917657, 7.108299905667081e-05, 6.217033660504967e-05, 9.710974700283259e-05, 0.00035960247623734176, 0.001058712019585073, 0.007697329856455326, 0.021140726283192635]"
"[0.2393259244558464, 0.2580502543716382, 0.2305012273029267, 0.153250319479755, 0.0740619998707043, 0.0194870494143747, 0.0013414636631533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0065726482409546, 0.0174091132006464]","[0.2484714239835739, 0.27022385597229004, 0.2325381189584732, 0.14054623246192932, 0.05664540082216263, 0.014621912501752377, 0.002277000807225704, 0.0004363970656413585, 7.274383824551478e-05, 5.144171882420778e-05, 5.1750139391515404e-05, 8.794218592811376e-05, 0.0003709302400238812, 0.0011378079652786255, 0.0091198505833745, 0.02334720641374588]"
"[0.2219281993491871, 0.2487343645705966, 0.2300153758490336, 0.1587177490642987, 0.0807877248297635, 0.0234506491959317, 0.0020004570901915, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0094184996609519, 0.0249469803900452]","[0.2458544671535492, 0.27287545800209045, 0.23321107029914856, 0.14177080988883972, 0.05512082576751709, 0.013453512452542782, 0.0018993664998561144, 0.00033857751986943185, 5.472351040225476e-05, 4.063484084326774e-05, 4.225693555781618e-05, 7.541969534941018e-05, 0.00034468999365344644, 0.0011530703632161021, 0.0096536660566926, 0.02411150373518467]"
"[0.2257215333462277, 0.248666760421976, 0.2265699548473265, 0.1573864725929868, 0.0826289294415754, 0.0249709579447814, 0.0018746886062342, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008819720776511, 0.0233609820223807]","[0.24117757380008698, 0.2723546326160431, 0.23562002182006836, 0.14296123385429382, 0.056201256811618805, 0.013307246379554272, 0.0019236900843679905, 0.00033288472332060337, 5.648835576721467e-05, 4.372156035969965e-05, 4.897423059446737e-05, 9.369542385684326e-05, 0.0004063720698468387, 0.0012973335105925798, 0.010089547373354435, 0.024085350334644318]"
